make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption,co2,cluster
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,24,276,0
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,25,258,0
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,36,179,2
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,36,179,2
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,32,202,2
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,34,189,2
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,D,40,192,2
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,37,177,2
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,40,163,2
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,31,209,2
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,24,276,1
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,17,259,1
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,28,230,2
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,22,290,1
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,17,272,1
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,19,347,0
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18,366,0
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,14,334,0
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,17,380,0
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,13,344,0
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,17,380,0
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,13,344,0
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,17,380,0
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,12,362,0
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,17,380,0
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,13,344,0
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,17,380,0
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,12,362,0
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,16,414,0
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,15,432,0
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,11,411,0
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,16,419,0
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,15,435,0
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,11,413,0
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,29,221,2
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,27,244,1
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,20,229,1
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,32,200,2
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,29,228,2
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,35,184,2
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,27,244,1
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,28,235,2
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,24,271,1
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,17,269,1
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,22,292,0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,17,270,0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,20,324,0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,22,290,1
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,16,285,1
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,22,299,0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,16,277,0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,20,329,0
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,35,184,2
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,38,173,2
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,34,191,2
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,36,182,2
CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,34,191,2
CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,35,184,2
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,35,184,2
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,38,172,2
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,34,191,2
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,36,182,2
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,34,191,2
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,35,184,2
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,41,159,2
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,41,159,2
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,20,317,0
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,15,294,0
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,20,317,0
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,15,294,0
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,20,317,0
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,15,294,0
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,20,317,0
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,15,294,0
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,23,283,1
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,22,290,1
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,34,193,2
CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,35,186,2
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,31,207,2
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,27,237,1
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,28,232,2
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,26,246,1
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,27,242,1
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,20,230,1
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,29,225,2
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,28,230,2
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,27,242,1
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,20,230,1
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,22,294,0
CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,26,251,1
CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,21,308,0
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,26,251,1
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,19,237,1
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,27,237,1
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,20,222,1
CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,20,317,0
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,24,276,1
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,E,17,269,1
DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,29,225,2
DODGE,AVENGER,MID-SIZE,2.4,4,A6,X,28,230,2
DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,X,27,242,1
DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,E,20,230,1
DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,25,258,1
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,22,301,0
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A5,X,22,294,0
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,20,320,0
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A5,Z,20,317,0
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,25,258,1
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,27,237,1
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,22,294,0
DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,26,251,1
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,21,308,0
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,26,251,1
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,19,237,1
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,25,258,1
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18,251,1
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,28,235,1
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,20,222,1
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A5,Z,20,317,0
DODGE,DART,MID-SIZE,2.0,4,M6,X,35,186,2
DODGE,DART,MID-SIZE,2.4,4,A6,X,33,198,2
DODGE,DART,MID-SIZE,2.4,4,M6,X,32,202,2
DODGE,DART FFV,MID-SIZE,2.0,4,A6,X,33,198,2
DODGE,DART FFV,MID-SIZE,2.0,4,A6,E,23,195,2
DODGE,DART GT,MID-SIZE,2.4,4,A6,X,31,212,2
DODGE,DART GT,MID-SIZE,2.4,4,M6,X,32,202,2
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,39,168,2
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,M6,X,39,168,2
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,20,331,0
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,X,23,278,1
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,E,18,250,1
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,24,271,1
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,E,17,264,1
DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,25,255,1
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,23,285,1
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,24,276,1
